country,year,oze_share,energy_price,inflation,gdp_per_capita
Slovakia,2020,17.345,0.15112333333333333,2.0,17270.0
Albania,2021,41.389,0.08276666666666667,2.3,5190.0
Austria,2021,34.643,0.21199696969696968,2.8,44580.0
Belgium,2021,13.017,0.25457575757575757,3.2,42530.0
Bulgaria,2021,19.394,0.09401515151515151,2.8,10250.0
Cyprus,2021,19.069,0.20423030303030304,2.3,27030.0
Czech Republic,2021,17.614,0.18034242424242425,3.3,21830.0
Germany,2021,19.302,0.2644424242424242,3.2,43730.0
Denmark,2021,41.494,0.21888181818181818,1.9,56780.0
Estonia,2021,37.342,0.1484181818181818,4.5,22670.0
Greece,2021,22.001,0.18588484848484849,0.6,17110.0
Spain,2021,20.552,0.24706969696969697,3.0,25440.0
Finland,2021,42.819,0.17676666666666668,2.1,43800.0
France,2021,19.391,0.20147272727272728,2.1,36460.0
Croatia,2021,31.285,0.12681515151515152,2.7,14750.0
Hungary,2021,14.134,0.08637222222222223,5.2,15470.0
Ireland,2021,12.945,0.2638638888888889,2.4,87160.0
Iceland,2021,79.618,0.1369030303030303,3.7,56150.0
Italy,2021,18.888,0.24373333333333336,2.0,30760.0
Lithuania,2021,28.167,0.1232878787878788,4.6,19040.0
Luxembourg,2021,11.713,0.1953060606060606,3.5,107570.0
Latvia,2021,42.112,0.1563121212121212,3.2,16580.0
Montenegro,2021,39.891,0.09873333333333334,2.5,7500.0
North Macedonia,2021,19.115,0.07902424242424243,3.4,6170.0
Malta,2021,12.631,0.21036363636363636,0.7,31420.0
Netherlands,2021,13.117,0.11205277777777778,2.8,49490.0
Norway,2021,75.038,0.2092878787878788,3.9,64640.0
Poland,2021,15.604,0.1330090909090909,5.2,15380.0
Portugal,2021,33.982,0.19753333333333334,0.9,20390.0
Romania,2021,23.871,0.13378181818181817,4.1,12130.0
Serbia,2021,25.255,0.10480909090909091,4.0,7740.0
Sweden,2021,62.527,0.20224722222222222,2.7,48300.0
Slovenia,2021,25.0,0.15925454545454545,2.0,24040.0
Slovakia,2021,17.419,0.14473939393939395,2.8,18320.0
Albania,2022,44.076,0.08532424242424243,6.6,5500.0
Austria,2022,34.057,0.21858611111111112,8.6,46430.0
Belgium,2022,13.831,0.37858055555555553,10.3,43890.0
Bulgaria,2022,19.079,0.0998138888888889,13.0,10740.0
Cyprus,2022,19.427,0.2787638888888889,8.1,28850.0
Czech Republic,2022,18.123,0.18314722222222224,14.8,21910.0
Germany,2022,20.829,0.29406944444444444,8.7,44230.0
Denmark,2022,41.368,0.39648333333333335,8.6,56530.0
Estonia,2022,38.542,0.19921388888888888,19.4,22370.0
Greece,2022,22.671,0.2962472222222222,9.3,18160.0
Spain,2022,21.837,0.3299111111111111,8.3,26820.0
Finland,2022,47.74,0.20469444444444443,7.2,44010.0
France,2022,20.33,0.21859166666666666,5.9,37280.0
Croatia,2022,28.088,0.13995,10.7,15900.0
